rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_logistic__C,param_logistic__class_weight
26,0.5121123044319443,0.05181241204510346,0.8650508435328771,0.030349253655654322,0.8862019538879394,"(1, 1)",2,0.9,0.01,balanced
28,0.5032390155586555,0.04082277359440233,0.8650508435328771,0.030349253655654322,0.9352209091186523,"(1, 1)",2,0.95,0.01,balanced
29,0.5025480526998883,0.048166872002894705,0.9706804966210907,0.008634946507619153,1.4677497386932372,"(1, 1)",3,0.85,1.0,balanced
29,0.5025480526998883,0.048166872002894705,0.9706804966210907,0.008634946507619153,1.040770673751831,"(1, 1)",3,0.95,1.0,balanced
31,0.489898878572484,0.06759725613784084,0.9722164045978532,0.01009801873531594,2.3974801540374755,"(1, 2)",3,0.85,1.0,balanced
31,0.489898878572484,0.06759725613784084,0.9722164045978532,0.01009801873531594,2.121913766860962,"(1, 2)",3,0.9,1.0,balanced
31,0.489898878572484,0.06759725613784084,0.9722164045978532,0.01009801873531594,1.7143980026245118,"(1, 2)",3,0.95,1.0,balanced
34,0.48836246083234036,0.06738940233174062,1.0,0.0,1.027117919921875,"(1, 1)",3,0.85,10.0,balanced
34,0.48836246083234036,0.06738940233174062,1.0,0.0,0.8820538520812988,"(1, 1)",3,0.9,10.0,balanced
36,0.47495543172565907,0.08310332420958481,1.0,0.0,1.50742826461792,"(1, 2)",3,0.85,100.0,balanced
36,0.47495543172565907,0.08310332420958481,1.0,0.0,1.8025333881378174,"(1, 2)",3,0.9,100.0,balanced
36,0.47495543172565907,0.08310332420958481,1.0,0.0,1.6624979496002197,"(1, 2)",3,0.95,100.0,balanced
39,0.47194988278303757,0.07391686960751641,1.0,0.0,1.7284086704254151,"(1, 2)",2,0.85,10.0,balanced
39,0.47194988278303757,0.07391686960751641,1.0,0.0,1.8360355854034425,"(1, 2)",2,0.9,10.0,balanced
41,0.47143077780695747,0.04832476677303527,1.0,0.0,1.078679609298706,"(1, 1)",3,0.9,100.0,balanced
42,0.4706593795998474,0.06737865698015541,1.0,0.0,0.8503593921661377,"(1, 1)",3,0.95,10.0,balanced
43,0.46287277701778384,0.045379114750873195,1.0,0.0,0.8354261875152588,"(1, 1)",3,0.85,100.0,
43,0.46287277701778384,0.045379114750873195,1.0,0.0,0.8385220050811768,"(1, 1)",3,0.9,100.0,
43,0.46287277701778384,0.045379114750873195,1.0,0.0,0.8462359428405761,"(1, 1)",3,0.95,100.0,
46,0.46155950752393976,0.046058141723885566,1.0,0.0,1.4781662464141845,"(1, 2)",2,0.85,100.0,balanced
46,0.46155950752393976,0.046058141723885566,1.0,0.0,1.8543838024139405,"(1, 2)",2,0.9,100.0,balanced
46,0.46155950752393976,0.046058141723885566,1.0,0.0,1.5340228080749512,"(1, 2)",2,0.95,100.0,balanced
